category_slug,question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty
star-wars,What planet is Luke Skywalker from?,Alderaan,Tatooine,Naboo,Coruscant,1,Luke grew up on the desert planet Tatooine with his uncle and aunt,easy
star-wars,What color is Mace Windus lightsaber?,Blue,Green,Purple,Red,2,Mace Windu has a unique purple lightsaber requested by Samuel L Jackson,easy
star-wars,Who is Kylo Rens mother?,Padme Amidala,Princess Leia,Rey,Jyn Erso,1,Kylo Ren is Ben Solo son of Leia Organa and Han Solo,medium
star-wars,What is the name of Han Solos ship?,X-Wing,TIE Fighter,Millennium Falcon,Star Destroyer,2,The Millennium Falcon is Hans famous light freighter,easy
star-wars,Which planet is destroyed by the Death Star in A New Hope?,Naboo,Alderaan,Coruscant,Tatooine,1,Alderaan Princess Leias home planet is destroyed by the Death Star,medium
marvel,What is the name of Thors hammer?,Stormbreaker,Mjolnir,Gungnir,Hofund,1,Mjolnir is Thors enchanted hammer that only the worthy can lift,easy
marvel,What is Tony Starks superhero name?,Steel Man,Iron Man,Metal Man,Titanium Man,1,Tony Stark is Iron Man genius billionaire playboy philanthropist,easy
marvel,What planet is Gamora from?,Xandar,Zen-Whoberi,Titan,Knowhere,1,Gamora is from Zen-Whoberi before Thanos adopted her,hard
marvel,What is the name of the fictional metal in Black Panther?,Adamantium,Vibranium,Uru,Carbonadium,1,Vibranium is found in Wakanda and makes up Captain Americas shield,medium
marvel,Who is the villain in the first Avengers movie?,Ultron,Thanos,Loki,Red Skull,2,Loki leads the Chitauri invasion of New York in The Avengers,easy
marvel,What stone is in Visions forehead?,Space Stone,Mind Stone,Time Stone,Soul Stone,1,The Mind Stone powers Vision and was originally in Lokis scepter,medium
villains,Who is the villain in The Little Mermaid?,Maleficent,Cruella,Ursula,Mother Gothel,2,Ursula is the sea witch who tricks Ariel into trading her voice,easy
villains,What is the name of the villain in 101 Dalmatians?,Ursula,Cruella de Vil,Lady Tremaine,Queen of Hearts,1,Cruella de Vil wants to make a fur coat from dalmatian puppies,easy
villains,Who is Simbas evil uncle in The Lion King?,Mufasa,Scar,Zazu,Rafiki,1,Scar kills Mufasa and takes over Pride Rock,easy
villains,What villain says Off with their heads?,Cruella de Vil,Maleficent,Queen of Hearts,Evil Queen,2,The Queen of Hearts from Alice in Wonderland loves ordering beheadings,easy
villains,Who cursed Aurora in Sleeping Beauty?,Evil Queen,Ursula,Maleficent,Mother Gothel,2,Maleficent cursed Aurora to prick her finger on a spindle,easy
villains,What is Jafars position in Agrabah?,King,Sultan,Royal Vizier,Guard Captain,2,Jafar is the Royal Vizier who wants to take over Agrabah,medium
villains,Who is the villain in Tangled?,Mother Gothel,Lady Tremaine,Yzma,Ursula,0,Mother Gothel kidnapped Rapunzel to use her magical hair,easy
villains,What does Hades rule in Hercules?,Mount Olympus,The Ocean,The Underworld,The Sky,2,Hades is god of the Underworld and wants to overthrow Zeus,easy
princesses,How many official Disney Princesses are there?,10,12,14,15,1,There are 12 official Disney Princesses in the lineup,medium
princesses,Who is the first Disney Princess?,Cinderella,Snow White,Aurora,Ariel,1,Snow White from 1937 is the first Disney Princess,easy
princesses,Which princess has the power to heal with her hair?,Elsa,Rapunzel,Moana,Pocahontas,1,Rapunzels magical hair can heal injuries and reverse aging,easy
princesses,Which princess is not royalty by birth or marriage?,Cinderella,Mulan,Aurora,Jasmine,1,Mulan is a warrior not a princess but is honorary,medium
princesses,What is Ariels fathers name?,Poseidon,Neptune,Triton,Aquaman,2,King Triton is Ariels father and ruler of Atlantica,easy
princesses,Which princess talks to animals and has forest friends?,Snow White,Aurora,Cinderella,All of the above,3,Snow White Aurora and Cinderella all communicate with animals,medium
princesses,Who is the youngest Disney Princess?,Snow White,Jasmine,Ariel,Moana,0,Snow White is canonically 14 years old the youngest princess,hard
princesses,Which princess cuts her hair in her movie?,Mulan,Rapunzel,Pocahontas,Both A and B,3,Both Mulan and Rapunzel cut their hair in their films,medium
music,Who composed the music for The Lion King?,Alan Menken,Hans Zimmer,Randy Newman,Danny Elfman,1,Hans Zimmer composed the score with songs by Elton John and Tim Rice,medium
music,Which movie features the song A Whole New World?,The Little Mermaid,Beauty and the Beast,Aladdin,Mulan,2,A Whole New World is from Aladdin sung on the magic carpet ride,easy
music,Who wrote the songs for Frozen?,Kristen Anderson-Lopez and Robert Lopez,Alan Menken,Lin-Manuel Miranda,Randy Newman,0,The Lopez duo wrote Let It Go and all Frozen songs,medium
music,What Disney movie features the song Under the Sea?,Moana,Finding Nemo,The Little Mermaid,Lilo and Stitch,2,Under the Sea is Sebastians song in The Little Mermaid,easy
music,Who composed most Disney Renaissance films like Little Mermaid and Beauty and the Beast?,Hans Zimmer,Alan Menken,John Williams,Danny Elfman,1,Alan Menken composed 8 Disney films including the Renaissance era,medium
music,Which movie features the song How Far Ill Go?,Moana,Frozen,Tangled,Brave,0,How Far Ill Go is Moanas signature song written by Lin-Manuel Miranda,easy
music,What song does Elsa sing when building her ice palace?,Do You Want to Build a Snowman,Let It Go,For the First Time in Forever,Into the Unknown,1,Let It Go plays as Elsa builds her ice palace and embraces her powers,easy
music,Who wrote the songs for Encanto?,Lin-Manuel Miranda,Alan Menken,Robert Lopez,Kristen Anderson-Lopez,0,Lin-Manuel Miranda wrote all songs including We Dont Talk About Bruno,easy
parks,What year did Disneyland open?,1950,1955,1960,1965,1,Disneyland opened July 17 1955 in Anaheim California,medium
parks,What is the name of the castle at Magic Kingdom?,Sleeping Beauty Castle,Cinderella Castle,Beast Castle,Snow White Castle,1,Cinderella Castle is the 189 foot icon of Magic Kingdom,easy
parks,What is the Star Wars land called?,Star Wars Land,Galaxys Edge,Batuu Territory,Outer Rim,1,Star Wars Galaxys Edge is set on the planet Batuu,easy
parks,How many Disney theme park resorts exist worldwide?,4,5,6,7,2,There are 6 Disney resorts in California Florida Tokyo Paris Hong Kong and Shanghai,medium
parks,What is a Hidden Mickey?,Secret meet and greet,Mickey shaped design hidden in parks,Private dining,After hours event,1,Hidden Mickeys are subtle Mickey shapes hidden throughout Disney parks,easy
parks,What is the spherical structure at EPCOT called?,The Globe,Spaceship Earth,Future World,Geosphere,1,Spaceship Earth is the iconic geodesic sphere at EPCOTs entrance,easy
parks,Which Disney park is the largest by acreage?,Magic Kingdom,Disneyland,Animal Kingdom,Shanghai Disneyland,2,Animal Kingdom is about 580 acres the largest Disney park,hard
parks,What is the mine train coaster at Magic Kingdom?,Thunder Mountain,Big Thunder Mountain Railroad,Mine Train Adventure,Gold Rush Mountain,1,Big Thunder Mountain Railroad is the wildest ride in the wilderness,easy
parks,What famous phrase is at Disneyland entrance?,Where Magic Lives,Happiest Place on Earth,Where Dreams Come True,Magic is Here,1,The Happiest Place on Earth is Disneylands famous tagline,easy
parks,What year did Walt Disney World open?,1965,1968,1971,1975,2,Magic Kingdom opened October 1 1971,medium
cruise,What was the first Disney cruise ship?,Disney Wonder,Disney Magic,Disney Dream,Disney Fantasy,1,Disney Magic launched in 1998 as the first Disney cruise ship,medium
cruise,What is Disneys private island called?,Paradise Island,Disney Island,Castaway Cay,Magic Island,2,Castaway Cay is Disneys private Bahamas island,easy
cruise,How many ships are in the Disney Cruise fleet as of 2024?,4,5,6,7,1,Disney has 5 ships Magic Wonder Dream Fantasy and Wish,medium
cruise,What is the adults only area on Disney ships called?,Adult Cove,Quiet Cove,Serenity Bay,Adults Zone,1,Quiet Cove has the adults only pool and relaxation areas,medium
cruise,What unique dining concept does Disney Cruise use?,Fixed dining,Buffet only,Rotational dining,Room service only,2,Rotational dining means you visit different restaurants but keep your servers,easy
cruise,What is the kids club on Disney cruise ships?,Mickeys Club,Oceaneer Club,Kids Cove,Disney Kids Club,1,Oceaneer Club is for kids ages 3-12,easy
cruise,What is Disneys newest ship as of 2022?,Disney Treasure,Disney Wish,Disney Adventure,Disney Destiny,1,Disney Wish debuted July 2022,easy
cruise,What is the adult beach on Castaway Cay?,Paradise Beach,Serenity Bay,Quiet Beach,Adults Cove,1,Serenity Bay is the adults only beach,medium
cruise,What does the ship horn play when departing?,Traditional horn,When You Wish Upon a Star,Mickey Mouse March,Sailing Away,1,Disney ships play When You Wish Upon a Star on departure,easy
cruise,What is Pirate Night on Disney Cruise?,Themed dinner,Deck party with fireworks,Character meet and greet,All of the above,3,Pirate Night includes dinner deck party costumes and fireworks,easy
walt-history,What year was Walt Disney born?,1899,1901,1905,1910,1,Walt Disney was born December 5 1901 in Chicago,medium
walt-history,What was Walt Disneys brothers name?,Robert,Roy O Disney,Raymond,Richard,1,Roy O Disney cofounded Disney with Walt in 1923,medium
walt-history,What was Mickey Mouses original name?,Mortimer Mouse,Milton Mouse,Martin Mouse,Morris Mouse,0,Walt wanted Mortimer but wife Lillian suggested Mickey,medium
walt-history,What year did Mickey Mouse debut?,1920,1925,1928,1932,2,Mickey debuted in Steamboat Willie on November 18 1928,medium
walt-history,Where is Walt Disney buried?,Forest Lawn Cemetery,Disneyland,Walt Disney World,He was cremated,3,Walt Disney was cremated and his ashes are at Forest Lawn in Glendale,hard
walt-history,What was the name of Walts first successful cartoon character?,Mickey Mouse,Oswald the Lucky Rabbit,Donald Duck,Goofy,1,Oswald was created before Mickey but Walt lost the rights,medium
broadway,What was the first Disney Broadway musical?,Beauty and the Beast,The Lion King,The Little Mermaid,Aladdin,0,Beauty and the Beast opened on Broadway in 1994,medium
broadway,What is the longest running Disney Broadway show?,Beauty and the Beast,The Lion King,Aladdin,Frozen,1,The Lion King has run since 1997 and is 3rd longest running Broadway show ever,easy
broadway,Which Disney Broadway show features puppetry by Julie Taymor?,Beauty and the Beast,The Lion King,Aladdin,Mary Poppins,1,Julie Taymors puppetry and masks are iconic in The Lion King,medium
broadway,What Disney movie became a Broadway show in 2014?,Frozen,Aladdin,The Little Mermaid,Newsies,1,Aladdin opened on Broadway in March 2014,medium
broadway,Which show features the song Seize the Day?,Newsies,The Lion King,Aladdin,Tarzan,0,Seize the Day is the Act 1 finale of Newsies,medium
food,What flavor is the famous Dole Whip?,Orange,Pineapple,Mango,Coconut,1,Pineapple Dole Whip is the iconic Disney parks frozen treat,easy
food,What is the bestselling food item at Disney parks?,Turkey Legs,Churros,Dole Whip,Mickey Pretzels,1,Churros are the top seller with millions sold annually,medium
food,What is the name of the restaurant inside Pirates of the Caribbean at Disneyland?,The Blue Lagoon,Blue Bayou,Captain Jacks,Pirates Cove,1,Blue Bayou is the atmospheric restaurant inside the ride,medium
food,What shape are the famous Disney ice cream bars?,Mickey head,Castle,Star,Circle,0,Mickey Premium Ice Cream Bars are shaped like Mickeys head,easy
food,What is the signature drink at Ogas Cantina in Galaxys Edge?,Blue Milk,Fuzzy Tauntaun,Jedi Mind Trick,All are signature drinks,3,Ogas Cantina has many signature drinks including Blue Milk,medium
food,What restaurant has the 50s TV dinner theme at Hollywood Studios?,Sci-Fi Dine-In,50s Prime Time Cafe,Hollywood and Vine,ABC Commissary,1,50s Prime Time Cafe servers act as family members from the 50s,medium
mixed,What does Ohana mean in Lilo and Stitch?,Love,Friend,Family,Together,2,Ohana means family and family means nobody gets left behind,easy
mixed,Which Disney Princess is based on a real person?,Mulan,Pocahontas,Moana,Merida,1,Pocahontas is based on a real Native American woman from the 1600s,medium
mixed,What is Buzz Lightyears famous catchphrase?,Youve got a friend in me,To infinity and beyond,Reach for the sky,Im a space ranger,1,To infinity and beyond is Buzzs iconic catchphrase,easy
mixed,Which Disney animated film has both parents alive throughout?,Tangled,Sleeping Beauty,101 Dalmatians,Mulan,3,In Mulan both parents are present and alive the whole film,hard
mixed,What A113 refers to in Pixar films?,Secret code,CalArts classroom number,Hidden Mickey,Directors birthday,1,A113 is the CalArts classroom where many Pixar animators studied,medium
mixed,Who voiced both Darth Vader and Mufasa?,Morgan Freeman,James Earl Jones,Samuel L Jackson,Keith David,1,James Earl Jones iconic voice brought both characters to life,medium
animation,What year did The Little Mermaid release?,1985,1987,1989,1991,2,The Little Mermaid released in 1989 and kicked off the Disney Renaissance.,medium
animation,What is the name of Simba's childhood friend in The Lion King?,Timon,Nala,Sarabi,Shenzi,1,Nala is Simba's childhood friend who later becomes his queen.,easy
animation,In Aladdin, how many wishes does the Genie grant?,One,Two,Three,Unlimited,2,The Genie grants three wishes but Aladdin uses his last wish to free the Genie.,easy
animation,What is the name of the fairy in Peter Pan?,Silvermist,Tinker Bell,Rosetta,Fawn,1,Tinker Bell is Peter Pan's loyal fairy companion.,easy
animation,Who voices Elsa in Frozen?,Kristen Bell,Amy Adams,Idina Menzel,Mandy Moore,2,Idina Menzel voices Elsa and performs the hit song Let It Go.,medium
animation,In The Jungle Book, what type of animal is Baloo?,Panther,Orangutan,Bear,Tiger,2,Baloo is a fun-loving bear who teaches Mowgli the Bare Necessities.,easy
animation,What is the name of Mulan's dragon companion?,Mushu,Cri-Kee,Khan,Little Brother,0,Mushu is a small red dragon voiced by Eddie Murphy who helps Mulan.,easy
animation,In Bambi, what type of animal is Thumper?,Skunk,Rabbit,Deer,Owl,1,Thumper is Bambi's rabbit friend named for his habit of thumping his foot.,easy
animation,What is Pocahontas's raccoon friend's name?,Flit,Percy,Meeko,Nakoma,2,Meeko is the mischievous raccoon who accompanies Pocahontas.,medium
animation,Which Disney film features Experiment 626?,Big Hero 6,Lilo & Stitch,Bolt,Wreck-It Ralph,1,Stitch's official experiment number is 626, created by Dr. Jumba.,medium
animation,In Encanto, what is Luisa's magical gift?,Shape-shifting,Super strength,Healing,Weather control,1,Luisa Madrigal has the gift of super strength and sings Surface Pressure.,easy
animation,What is the name of the kingdom in Frozen?,Corona,Arendelle,DunBroch,Motunui,1,Arendelle is the Scandinavian-inspired kingdom where Elsa and Anna live.,easy
animation,In Tarzan, who raises Tarzan as her own?,Kala,Kerchak,Tantor,Sabor,0,Kala is the gorilla who adopts and raises baby Tarzan as her son.,medium
animation,What year did Frozen release?,2011,2012,2013,2014,2,Frozen released in November 2013 and became one of Disney's highest-grossing films.,medium
animation,In The Princess and the Frog, what is Tiana's dream?,To be a princess,To own a restaurant,To travel the world,To be a singer,1,Tiana dreams of opening her own restaurant in New Orleans.,easy
pixar,What is the name of the clownfish father in Finding Nemo?,Martin,Marlin,Marlo,Marcel,1,Marlin is Nemo's overprotective father who crosses the ocean to find him.,easy
pixar,What is the name of the rat protagonist in Ratatouille?,Emile,Remy,Alfredo,Gusteau,1,Remy is the rat who dreams of becoming a chef in Paris.,easy
pixar,In Cars, what number is Lightning McQueen?,43,86,95,100,2,Lightning McQueen's number 95 references Toy Story's 1995 release year.,medium
pixar,What is the name of the lead emotion in Inside Out?,Sadness,Anger,Joy,Fear,2,Joy is the lead emotion who tries to keep Riley happy.,easy
pixar,In Finding Dory, what kind of fish is Dory?,Clownfish,Blue Tang,Angelfish,Pufferfish,1,Dory is a blue tang with short-term memory loss.,easy
pixar,What is one of Woody's famous pull-string phrases in Toy Story?,Howdy partner,You're my favorite deputy,There's a snake in my boot,Reach for the sky,2,There's a snake in my boot is one of Woody's most recognizable pull-string phrases.,medium
pixar,In Brave, what does Merida's mother turn into?,A horse,A deer,A bear,A wolf,2,Queen Elinor is transformed into a bear by a witch's spell.,easy
pixar,What is the name of the prospector toy villain in Toy Story 2?,Bullseye,Jessie,Stinky Pete,Lotso,2,Stinky Pete the Prospector is the villain who was never sold from a store shelf.,medium
pixar,In The Incredibles, what is Violet's superpower?,Super speed,Force fields and invisibility,Super strength,Stretching,1,Violet Parr can turn invisible and create protective force fields.,medium
pixar,What Pixar film is set in the Land of the Dead?,Soul,Coco,Inside Out,Onward,1,Coco follows Miguel to the colorful Land of the Dead on Dia de los Muertos.,easy
pixar,In Soul, what instrument does Joe Gardner play?,Guitar,Drums,Piano,Saxophone,2,Joe Gardner is a middle school band teacher and jazz pianist.,medium
pixar,In Turning Red, what does Mei transform into?,A red fox,A red panda,A red bird,A red cat,1,Meilin Lee transforms into a giant red panda whenever she gets emotional.,easy
pixar,In Luca, what are Luca and Alberto secretly?,Robots,Sea monsters,Aliens,Ghosts,1,Luca and Alberto are sea monsters who take human form on land.,easy
pixar,What club does Russell belong to in Up?,Boy Scouts,Wilderness Explorers,Adventure Rangers,Junior Adventurers,1,Russell is a Wilderness Explorer working to earn his Assisting the Elderly badge.,medium
pixar,In Elemental, what are the two main elements that fall in love?,Fire and Water,Earth and Air,Fire and Air,Water and Earth,0,Ember (fire) and Wade (water) fall in love despite being opposite elements.,easy
pixar,What is the name of the teddy bear villain in Toy Story 3?,Bullseye,Big Baby,Lotso,Stinky Pete,2,Lots-o'-Huggin' Bear is a strawberry-scented teddy bear who runs Sunnyside Daycare.,easy
pixar,What is the name of the old man in Up?,Carl Fredricksen,Charles Muntz,Russell,Dug,0,Carl Fredricksen ties thousands of balloons to his house to fly to Paradise Falls.,easy
star-wars,Who is Luke Skywalker's father?,Obi-Wan Kenobi,Darth Vader,Emperor Palpatine,Han Solo,1,Darth Vader is Anakin Skywalker, Luke's father, revealed in The Empire Strikes Back.,easy
star-wars,What is the name of Han Solo's Wookiee co-pilot?,Wicket,Chewbacca,Tarfful,Lowbacca,1,Chewbacca is Han Solo's loyal Wookiee co-pilot and best friend.,easy
star-wars,What is the weapon of choice for a Jedi?,Blaster,Lightsaber,Bowcaster,Vibroblade,1,The lightsaber is described as an elegant weapon for a more civilized age.,easy
star-wars,Who trained Luke Skywalker on Dagobah?,Obi-Wan Kenobi,Mace Windu,Yoda,Qui-Gon Jinn,2,Yoda trained Luke in the ways of the Force on the swamp planet Dagobah.,easy
star-wars,What is the name of Boba Fett's father?,Jango Fett,Cad Bane,Pre Vizsla,Din Djarin,0,Jango Fett is Boba's father and the template for the Republic's clone army.,medium
star-wars,In what year did the original Star Wars film release?,1975,1977,1979,1980,1,Star Wars (A New Hope) premiered on May 25, 1977.,medium
star-wars,Which planet is the home of the Ewoks?,Kashyyyk,Endor,Hoth,Dagobah,1,The forest moon of Endor is home to the Ewoks who help defeat the Empire.,medium
star-wars,Who is the Sith villain in The Phantom Menace?,Count Dooku,Darth Vader,Darth Maul,General Grievous,2,Darth Maul is the Sith apprentice with a distinctive double-bladed lightsaber.,easy
star-wars,What planet is the Jedi Temple located on?,Naboo,Coruscant,Kamino,Mustafar,1,The Jedi Temple is on Coruscant, the capital of the Galactic Republic.,medium
star-wars,What is the name of Boba Fett's ship?,Razor Crest,Slave I,Outrider,Ghost,1,Slave I is Boba Fett's ship that tracks Han Solo to Cloud City.,medium
star-wars,Who says the famous line 'I am your father'?,Emperor Palpatine,Obi-Wan Kenobi,Darth Vader,Yoda,2,Darth Vader reveals he is Luke's father in The Empire Strikes Back.,easy
star-wars,What type of trooper wears white armor in the Empire?,Clone Trooper,Death Trooper,Stormtrooper,Scout Trooper,2,Stormtroopers are the iconic white-armored soldiers of the Galactic Empire.,easy
star-wars,What is unique about Kylo Ren's lightsaber?,It's double-bladed,It has a curved hilt,It has a crossguard,It's dual-wielded,2,Kylo Ren wields a unique crossguard lightsaber with unstable side vents.,medium
star-wars,What is the Mandalorian's real name?,Boba Fett,Cobb Vanth,Din Djarin,Pre Vizsla,2,Din Djarin is the Mandalorian bounty hunter who adopts Grogu.,medium
star-wars,What is Order 66?,A trade agreement,A command to destroy the Jedi,A droid protocol,A rebel code,1,Order 66 was Palpatine's command for clone troopers to execute the Jedi.,medium
star-wars,What is the ice planet in The Empire Strikes Back?,Hoth,Starkiller Base,Crait,Ilum,0,Hoth is the frozen planet where the Rebel Alliance established Echo Base.,easy
star-wars,Who is Rey's grandfather?,Luke Skywalker,Han Solo,Emperor Palpatine,Obi-Wan Kenobi,2,Rey is revealed to be the granddaughter of Emperor Palpatine in The Rise of Skywalker.,medium
star-wars,What is Luke's call sign during the Death Star attack?,Gold Leader,Red Five,Blue Leader,Rogue One,1,Luke's call sign was Red Five during the Battle of Yavin.,hard
star-wars,What is the name of Han Solo's son?,Luke Solo,Anakin Solo,Ben Solo,Jacen Solo,2,Ben Solo is the son of Han and Leia who becomes Kylo Ren.,medium
marvel,What is Captain America's shield made of?,Adamantium,Vibranium,Uru,Titanium,1,Captain America's shield is made of vibranium from Wakanda.,easy
marvel,What is the name of Tony Stark's AI assistant?,Alexa,JARVIS,FRIDAY,Siri,1,JARVIS (Just A Rather Very Intelligent System) is Tony's AI who later becomes Vision.,easy
marvel,Who snaps the Infinity Gauntlet to defeat Thanos in Endgame?,Thor,Captain America,Tony Stark,Hulk,2,Tony Stark sacrifices himself by snapping the Infinity Stones to defeat Thanos.,easy
marvel,What is the name of Thor's home realm?,Midgard,Asgard,Jotunheim,Vanaheim,1,Asgard is the home realm of Thor and the Asgardian gods.,easy
marvel,Who is the Winter Soldier?,Sam Wilson,Bucky Barnes,John Walker,Helmut Zemo,1,Bucky Barnes is Steve Rogers' childhood friend who was brainwashed into the Winter Soldier.,easy
marvel,What country is Black Panther the king of?,Wakanda,Sokovia,Latveria,Genosha,0,T'Challa is the king of Wakanda, a technologically advanced African nation.,easy
marvel,How many Infinity Stones are there?,4,5,6,7,2,There are six Infinity Stones: Space, Mind, Reality, Power, Time, and Soul.,easy
marvel,What is Hawkeye's real name?,Clint Barton,Scott Lang,Sam Wilson,Bucky Barnes,0,Clint Barton is Hawkeye, the expert archer and founding Avenger.,medium
marvel,What is the name of the raccoon in Guardians of the Galaxy?,Rocky,Rocket,Ranger,Rascal,1,Rocket is the genetically enhanced raccoon and weapons expert.,easy
marvel,What does Groot always say?,I am Groot,We are Groot,Groot is here,Help me,0,Groot can only say 'I am Groot' but each time it means something different.,easy
marvel,Who created Ultron in the MCU?,Thanos,Tony Stark and Bruce Banner,Hank Pym,Wanda Maximoff,1,Tony Stark and Bruce Banner created Ultron as a peacekeeping AI that went rogue.,medium
marvel,What artifact does Doctor Strange wear that contains the Time Stone?,Cloak of Levitation,Sling Ring,Eye of Agamotto,Book of Vishanti,2,The Eye of Agamotto is the pendant that houses the Time Stone.,medium
marvel,What is Ant-Man's real name in the MCU?,Hank Pym,Scott Lang,Hope Van Dyne,Luis,1,Scott Lang is the MCU's Ant-Man, a former thief turned superhero.,medium
marvel,Who is the main villain in Black Panther?,Ulysses Klaue,Helmut Zemo,Erik Killmonger,M'Baku,2,Erik Killmonger challenges T'Challa for the throne of Wakanda.,easy
marvel,What color is the Power Stone?,Blue,Red,Purple,Green,2,The Power Stone is purple and was first seen in Guardians of the Galaxy.,hard
marvel,Who wields the Stormbreaker axe?,Captain America,Thor,Odin,Heimdall,1,Thor forges Stormbreaker in Nidavellir to fight Thanos in Infinity War.,easy
marvel,Who is Peter Parker's aunt?,Aunt May,Aunt June,Aunt Beth,Aunt Rose,0,Aunt May raises Peter Parker and is played by Marisa Tomei in the MCU.,easy
marvel,What is the Quantum Realm?,Another galaxy,A subatomic dimension,A virtual reality,An alien planet,1,The Quantum Realm is a subatomic dimension accessible by shrinking beyond atomic scale.,medium
marvel,Who is the God of Thunder in the MCU?,Loki,Odin,Thor,Heimdall,2,Thor Odinson is the Asgardian God of Thunder and a founding Avenger.,easy
villains,What is Captain Hook afraid of?,Peter Pan,A crocodile,The sea,Flying,1,Captain Hook fears the crocodile that swallowed his hand and a ticking clock.,easy
villains,Who is the villain in The Emperor's New Groove?,Maleficent,Yzma,Jafar,Gaston,1,Yzma is the conniving advisor who wants to overthrow Emperor Kuzco.,medium
villains,What does Gaston want in Beauty and the Beast?,Gold,The Beast's castle,To marry Belle,To be king,2,Gaston is obsessed with marrying Belle because she is the most beautiful girl in town.,easy
villains,Who are Ursula's eel sidekicks in The Little Mermaid?,Flotsam and Jetsam,Pain and Panic,Lock and Shock,Iago and Diablo,0,Flotsam and Jetsam are Ursula's sneaky electric eel minions.,medium
villains,What does Maleficent turn into at the end of Sleeping Beauty?,A snake,A witch,A dragon,A raven,2,Maleficent transforms into a fire-breathing dragon to fight Prince Phillip.,easy
villains,Who is the villain in Pocahontas?,Captain Hook,John Smith,Governor Ratcliffe,Claude Frollo,2,Governor Ratcliffe leads the English settlers and greedily seeks gold in the New World.,medium
villains,What is the name of Jafar's parrot?,Iago,Diablo,Zazu,Scuttle,0,Iago is Jafar's loud and scheming parrot sidekick voiced by Gilbert Gottfried.,easy
villains,Who is the villain in The Hunchback of Notre Dame?,Gaston,Claude Frollo,Ratcliffe,Dr. Facilier,1,Judge Claude Frollo is the cruel minister who raises Quasimodo in the bell tower.,medium
villains,What magic does Dr. Facilier use in The Princess and the Frog?,A magic lamp,Voodoo magic,Sorcery,Alchemy,1,Dr. Facilier, the Shadow Man, uses voodoo and makes deals with dark spirits.,medium
villains,What is the Evil Queen's famous line in Snow White?,Off with their heads,Mirror mirror on the wall,I'll get you my pretty,Long live the queen,1,The Evil Queen asks her magic mirror who is the fairest of them all.,easy
villains,What animal is Prince John in Disney's Robin Hood?,Fox,Bear,Lion,Snake,2,Prince John is a cowardly lion who rules England in King Richard's absence.,medium
